Link,Section,Career Area,Opportunity Title,Organisation,Deadline,Description
https://uptree.co/events/,Insight Days,Finance & Business,Women in Finance Virtual Insight Session,Deloitte,30/09/2026 event,Virtual insight session introducing students to careers in finance.
https://uptree.co/events/,Work Experience,Finance & Business,Acing the Application Process & Assessment Centre Workshop,Lloyds Banking Group,02/10/2026 event,Two work-experience days focused on applications and assessment-centre skills.
https://uptree.co/events/,Work Experience,"Science, Technology & Engineering",Work Experience Insight Day,Arm,02/10/2026 event,Explore careers in technology and engineering through an in-person insight day in Bristol.
https://uptree.co/events/,Insight Days,Technology,Apprenticeship & Post-School Internship Application Masterclass,IBM,07/10/2026 event,Online session about applying for apprenticeships and post-school opportunities.
https://uptree.co/events/,Insight Days,Technology,Virtual Insight Session,ADM,14/10/2026 event,Virtual introduction to careers and opportunities at ADM.
https://uptree.co/events/,Work Experience,Finance & Business,Work Experience Placement,ADM,28/09/2026 event,In-person work experience opportunity in London.
https://uptree.co/events/,Insight Days,Cyber Security & Public Service,Student & Parent Virtual Insight Evening,National Cyber Force,20/10/2026 event,"Explore careers in cyber security, intelligence, technology and national security."
https://uptree.co/events/,Workshops & Events,Cyber Security & Public Service,Application Masterclass,National Cyber Force,28/01/2027 event,Online application masterclass covering early-career opportunities in cyber and national security.
https://uptree.co/events/,Work Experience,"Science, Technology & Engineering",Technology Work Experience Day,Arm,03/11/2026 event,In-person technology work experience in Cambridge.
https://uptree.co/events/,Work Experience,"Science, Technology & Engineering",Technology Work Experience Day,Arm,05/11/2026 event,In-person technology work experience in Manchester.
https://uptree.co/events/,Work Experience,"Science, Technology & Engineering",Work Experience Insight Day,CGI,11/11/2026 event,"Explore technology, IT and consulting careers in London."
https://uptree.co/events/,Work Experience,"Science, Technology & Engineering",Government Cyber/STEM Work Experience Day,Government,18/11/2026 event,Explore cyber security and STEM careers within government.
https://uptree.co/events/,Work Experience,"Science, Technology & Engineering",Government Cyber/STEM Work Experience Day,Government,19/11/2026 event,Explore cyber security and STEM careers within government.
https://uptree.co/events/,Work Experience,Finance & Business,KPMG Work Experience Day,KPMG,04/11/2026 event,In-person work experience exploring professional services and business careers in Bristol.
https://uptree.co/events/,Work Experience,Finance & Business,KPMG Work Experience Day,KPMG,09/12/2026 event,In-person work experience exploring professional services and business careers in Glasgow.
https://www.pathwayx.uk/virtual-work-experience,Work Experience,Finance & Business,Investec Accounting & Finance Virtual Work Experience,Investec,Closed/expired,Online finance and accounting work experience with a certificate.
https://www.pathwayx.uk/virtual-work-experience,Work Experience,Finance & Business,Siemens Business Services Virtual Work Experience,Siemens,04/11/2026,Explore business and management careers through virtual work experience.
https://www.pathwayx.uk/virtual-work-experience,Work Experience,Finance & Business,Uncovering Insurance Virtual Work Experience,AXA UK,31/12/2026,Explore careers in insurance and business through virtual work experience.
https://www.pathwayx.uk/virtual-work-experience,Work Experience,Finance & Business,Heathrow Business Virtual Work Experience,Heathrow,27/01/2027,Explore business careers at Heathrow through online work experience.
https://www.pathwayx.uk/virtual-work-experience,Work Experience,Finance & Business,Insurance Work Experience,Allianz,24/03/2027,Virtual work experience exploring insurance and financial services.
https://www.pathwayx.uk/virtual-work-experience,Work Experience,Finance & Business,Barclays LifeSkills,Barclays,31/03/2027,"Explore economics, employability and financial-services-related skills."
https://www.pathwayx.uk/virtual-work-experience,Work Experience,Finance & Business,AAT Virtual Work Experience,AAT,02/04/2027,Explore accountancy and financial careers through virtual work experience.
https://www.pathwayx.uk/virtual-work-experience,Work Experience,Finance & Business,Accountancy Work Experience,BDO,11/04/2027,Virtual introduction to accountancy and professional services.
https://www.pathwayx.uk/virtual-work-experience,Work Experience,Finance & Business,Careers in Financial Advice,Personal Finance Society,17/04/2027,Explore careers in financial advice through virtual work experience.
https://www.pathwayx.uk/virtual-work-experience,Work Experience,Technology & Business,Digital Business Consultancy Work Experience,CACI,20/04/2027,"Explore digital consultancy, business and technology careers."
https://www.pathwayx.uk/virtual-work-experience,Work Experience,Finance & Business,Step Inside Accountancy,ICAEW,29/04/2027,Virtual introduction to accountancy and careers in the profession.
https://www.pathwayx.uk/virtual-work-experience,Work Experience,Finance & Business,Skills for Success Work Experience,Forvis Mazars,15/06/2027,"Explore professional services, accounting and business careers."
https://www.pathwayx.uk/engineering/opportunities,Work Experience,"Science, Technology & Engineering",Engineering Opportunities,Pathway X,Various,Engineering opportunities and work-experience resources for students.
https://www.pathwayx.uk/university/tmua,University Pathways,Mathematics & Computer Science,TMUA Preparation,Pathway X,22/10/2026 test date,Preparation resource for students taking the Test of Mathematics for University Admission.
https://www.pathwayx.uk/university/ucat,University Pathways,Medicine & Health,UCAT Preparation,Pathway X,26/09/2026 test deadline,Preparation resource for students applying to medicine and related courses requiring the UCAT.
https://www.eyfoundation.com/en_uk/apply/i-m-a-young-person/smart-futures--how-to-apply,Work Experience,Finance & Business,Smart Futures: Business & Finance – London,EY Foundation,Open,Year 12 programme exploring business and finance careers in London.
https://www.eyfoundation.com/en_uk/apply/i-m-a-young-person/smart-futures--how-to-apply,Work Experience,Technology & Business,Smart Futures: Business & Technology – London,EY Foundation,Open,Explore technology and business careers through a structured programme.
https://www.eyfoundation.com/en_uk/apply/i-m-a-young-person/smart-futures--how-to-apply,Work Experience,Technology,Tech Futures – London,EY Foundation,Open,Explore technology careers through EY Foundation's Smart Futures programme.
https://www.eyfoundation.com/en_uk/apply/i-m-a-young-person/smart-futures--how-to-apply,Work Experience,"Construction, Property & Skilled Trades",Real Estate Futures – London,EY Foundation,Open,Explore property and real-estate careers.
https://www.eyfoundation.com/en_uk/apply/i-m-a-young-person/smart-futures--how-to-apply,Work Experience,Technology & Business,Data Driven Futures – London,EY Foundation,Open,"Explore data, technology and business careers."
https://www.eyfoundation.com/en_uk/apply/i-m-a-young-person/smart-futures--how-to-apply,Work Experience,"Science, Technology & Engineering",STEM Futures – Birmingham,EY Foundation,Open,Explore STEM careers through a structured work-experience programme.
https://www.eyfoundation.com/en_uk/apply/i-m-a-young-person/smart-futures--how-to-apply,Work Experience,Technology & Business,Business & Technology – Birmingham,EY Foundation,Open,Explore business and technology careers.
